botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0720200208, 052296, 055452,  134.8,   0.16,
0720200207, 052296, 055332,  149.0,   0.15,
0720200205, 052296, 055052,  175.1,   0.14,
0720200203, 052296, 054806,  202.1,   0.10,
0730200623, 062696, 070517,    4.0,   0.24,
0730200621, 062696, 070357,   14.7,   0.24,
0730200619, 062696, 070225,   24.6,   0.24,
0730200618, 062696, 070111,   35.2,   0.28,
0730200617, 062696, 065955,   45.0,   0.27,
0730200616, 062696, 065833,   59.3,   0.21,
0730200615, 062696, 065721,   74.4,   0.21,
0730200614, 062696, 065607,   84.5,   0.22,
0730200613, 062696, 065503,   94.9,   0.22,
0730200612, 062696, 065357,  104.7,   0.20,
0730200611, 062696, 065249,  114.5,   0.32,
0730200610, 062696, 065131,  124.1,   0.20,
0730200609, 062696, 065015,  134.0,   0.18,
0730200608, 062696, 064907,  150.0,   0.16,
0730200607, 062696, 064801,  159.0,   0.16,
0730200606, 062696, 064637,  174.6,   0.18,
0730200605, 062696, 064531,  184.6,   0.20,
0730200604, 062696, 064403,  200.9,   0.15,
0740200622, 072796, 065559,    4.5,   0.24,
0740200621, 072796, 065505,   14.4,   0.24,
0740200619, 072796, 065405,   24.3,   0.23,
0740200618, 072796, 065301,   33.9,   0.24,
0740200617, 072796, 065203,   44.6,   0.22,
0740200616, 072796, 065111,   58.9,   0.21,
0740200615, 072796, 065009,   74.8,   0.21,
0740200614, 072796, 064917,   84.5,   0.20,
0740200613, 072796, 064817,   95.1,   0.21,
0740200612, 072796, 064729,  103.8,   0.16,
0740200611, 072796, 064629,  113.7,   0.21,
0740200610, 072796, 064535,  124.2,   0.20,
0740200609, 072796, 064439,  134.2,   0.18,
0740200607, 072796, 064301,  150.2,   0.19,
0740200605, 072796, 064117,  174.3,   0.14,
0740200603, 072796, 063927,  199.9,   0.15,
0750200623, 082196, 080151,    5.2,   0.27,
0750200622, 082196, 080029,   14.8,   0.25,
0750200620, 082196, 075919,   25.2,   0.24,
0750200619, 082196, 075829,   34.6,   0.25,
0750200618, 082196, 075721,   44.9,   0.23,
0750200617, 082196, 075618,   59.8,   0.24,
0750200616, 082196, 075507,   74.5,   0.22,
0750200615, 082196, 075405,   84.6,   0.22,
0750200614, 082196, 075259,   95.0,   0.21,
0750200613, 082196, 075203,  104.4,   0.20,
0750200612, 082196, 075105,  114.2,   0.19,
0750200611, 082196, 075007,  125.3,   0.20,
0750200610, 082196, 074851,  135.7,   0.17,
0750200609, 082196, 074727,  150.4,   0.16,
0750200607, 082196, 074509,  176.0,   0.15,
0750200605, 082196, 074259,  199.8,   0.16,
0760200624, 100296, 065924,    3.8,   0.27,
0760200622, 100296, 065822,   14.2,   0.26,
0760200620, 100296, 065723,   24.2,   0.25,
0760200619, 100296, 065626,   34.9,   0.24,
0760200618, 100296, 065540,   43.6,   0.24,
0760200617, 100296, 065430,   59.6,   0.24,
0760200616, 100296, 065318,   73.8,   0.23,
0760200615, 100296, 065212,   84.6,   0.25,
0760200614, 100296, 065118,   94.5,   0.33,
0760200613, 100296, 065016,  103.7,   0.22,
0760200612, 100296, 064908,  115.3,   0.20,
0760200611, 100296, 064808,  124.3,   0.20,
0760200610, 100296, 064710,  134.8,   0.20,
0760200609, 100296, 064608,  148.7,   0.18,
0760200608, 100296, 064500,  159.4,   0.18,
0760200607, 100296, 064358,  175.1,   0.15,
0760200606, 100296, 064306,  183.8,   0.13,
0760200605, 100296, 064200,  199.9,   0.13,
0770200318, 103096, 035825,    4.2,   0.21,
0770200317, 103096, 035539,   80.2,   0.26,
0770200316, 103096, 035203,  188.6,   0.12,
0770200422, 103096, 070334,    4.3,   0.25,
0770200421, 103096, 070232,   14.7,   0.25,
0770200419, 103096, 070052,   24.2,   0.23,
0770200418, 103096, 065934,   34.9,   0.22,
0770200417, 103096, 065806,   43.7,   0.24,
0770200416, 103096, 065650,   59.6,   0.22,
0770200415, 103096, 065528,   74.1,   0.23,
0770200414, 103096, 065424,   84.4,   0.20,
0770200413, 103096, 065310,   95.4,   0.19,
0770200412, 103096, 065202,  104.4,   0.21,
0770200411, 103096, 065052,  114.2,   0.18,
