botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0910210002, 031898, -00009,  150.0,  0.168,
0910210001, 031898, -00009,  175.0,  0.109,
0920210008, 041598, -00009,    5.0,  1.369,
0920210007, 041598, -00009,   25.0,  1.487,
0920210006, 041598, -00009,   45.0,  1.625,
0920210005, 041598, -00009,   75.0,  1.562,
0920210004, 041598, -00009,  100.0,  0.745,
0920210003, 041598, -00009,  125.0,  0.401,
0920210002, 041598, -00009,  150.0,  0.198,
0930210008, 051398, -00009,    5.0,  1.385,
0930210007, 051398, -00009,   25.0,  1.762,
0930210006, 051398, -00009,   45.0,  2.026,
0930210005, 051398, -00009,   75.0,  1.776,
0930210004, 051398, -00009,  100.0,  1.468,
0930210003, 051398, -00009,  125.0,  0.739,
0930210002, 051398, -00009,  150.0,  0.196,
0930210001, 051398, -00009,  175.0,  0.109,
0940210008, 061798, -00009,    5.0,  1.031,
0940210007, 061798, -00009,   25.0,  1.623,
0940210006, 061798, -00009,   45.0,  1.520,
0940210005, 061798, -00009,   75.0,  2.385,
0940210004, 061798, -00009,  100.0,  2.264,
0940210003, 061798, -00009,  125.0,  0.834,
0940210002, 061798, -00009,  150.0,  0.245,
0940210001, 061798, -00009,  175.0,  0.066,
0950210008, 071598, -00009,    5.0,  2.066,
0950210007, 071598, -00009,   25.0,  2.078,
0950210006, 071598, -00009,   45.0,  2.099,
0950210005, 071598, -00009,   75.0,  2.967,
0950210004, 071598, -00009,  100.0,  1.622,
0950210003, 071598, -00009,  125.0,  0.677,
0950210002, 071598, -00009,  150.0,  0.222,
0950210001, 071598, -00009,  175.0,  0.048,
0960210008, 081098, -00009,    5.0,  1.910,
0960210007, 081098, -00009,   25.0,  2.046,
0960210006, 081098, -00009,   45.0,  2.540,
0960210005, 081098, -00009,   75.0,  2.449,
0960210004, 081098, -00009,  100.0,  0.909,
0960210003, 081098, -00009,  125.0,  0.512,
0960210002, 081098, -00009,  150.0,  0.253,
0960210001, 081098, -00009,  175.0,  0.276,
0970210008, 092898, -00009,    5.0,  1.621,
0970210007, 092898, -00009,   25.0,  2.020,
0970210006, 092898, -00009,   45.0,  1.843,
0970210005, 092898, -00009,   75.0,  2.942,
0970210004, 092898, -00009,  100.0,  2.888,
0970210003, 092898, -00009,  125.0,  1.058,
0970210002, 092898, -00009,  150.0,  0.208,
0970210001, 092898, -00009,  175.0,  0.076,
0980200712, 101998, 105751,    5.7,  2.366,
0980200711, 101998, 105634,   25.1,  2.469,
0980200710, 101998, 105522,   45.5,  3.426,
0980200709, 101998, 105351,   75.4,  2.983,
0980200708, 101998, 105231,  100.3,  1.947,
0980200707, 101998, 105121,  125.4,  0.661,
0980200706, 101998, 105003,  150.0,  0.217,
0980200705, 101998, 104730,  175.3,  0.242,
0980210008, 101998, -00009,    5.0,  2.268,
0980210007, 101998, -00009,   25.0,  2.325,
0980210006, 101998, -00009,   45.0,  2.066,
0980210005, 101998, -00009,   75.0,  2.990,
0980210004, 101998, -00009,  100.0,  1.208,
0980210003, 101998, -00009,  125.0,  0.573,
0980210002, 101998, -00009,  150.0,  0.300,
0980210001, 101998, -00009,  175.0,  0.201,
0990200810, 111198, 125241,    5.0,  2.435,
0990200809, 111198, 125045,   24.6,  2.521,
0990200808, 111198, 124930,   43.9,  2.447,
0990200807, 111198, 124745,   75.2,  2.831,
0990200806, 111198, 124615,  100.2,  1.011,
0990200805, 111198, 124448,  125.1,  0.281,
0990200804, 111198, 124320,  149.7,  0.124,
0990200803, 111198, 124147,  175.4,  0.372,
0990210008, 111198, -00009,    5.0,  1.889,
0990210007, 111198, -00009,   25.0,  1.682,
0990210006, 111198, -00009,   45.0,  1.779,
0990210005, 111198, -00009,   75.0,  1.888,
0990210004, 111198, -00009,  100.0,  0.385,
0990210003, 111198, -00009,  125.0,  0.223,
0990210002, 111198, -00009,  150.0,  0.091,
1000210008, 120998, -00009,    5.0,  2.254,
1000210007, 120998, -00009,   25.0,  2.282,
1000210006, 120998, -00009,   45.0,  2.239,
1000210005, 120998, -00009,   75.0,  1.457,
1000210004, 120998, -00009,  100.0,  1.047,
1000210003, 120998, -00009,  125.0,  0.296,
1010200721, 011399, 130114,    4.4,  2.767,
1010200720, 011399, 125947,   25.7,  3.181,
1010200718, 011399, 125757,   46.2,  2.846,
1010200716, 011399, 125547,   75.9,  2.816,
1010200714, 011399, 125407,  100.6,  2.785,
1010200712, 011399, 125147,  125.4,  0.254,
1010200710, 011399, 124912,  150.2,  0.128,
1010200709, 011399, 124742,  175.6,  0.033,
1010210008, 011399, -00009,    5.0,  1.613,
1010210007, 011399, -00009,   25.0,  1.787,
1010210006, 011399, -00009,   45.0,  1.738,
1010210005, 011399, -00009,   75.0,  1.740,
