botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0610200403, 030495, 074008,  200.0,   0.02,
0610201312, 030595, 114219,    4.8,   0.08,
0610201311, 030595, 114027,   25.4,   0.08,
0610201310, 030595, 113845,   44.8,   0.08,
0610201309, 030595, 113709,   74.5,   0.31,
0610201308, 030595, 113520,  100.8,   0.14,
0610201307, 030595, 113314,  124.3,   0.05,
0610201306, 030595, 113126,  150.6,   0.02,
0610201305, 030595, 112911,  174.0,   0.01,
0610210008, 030495, -00009,    5.0,   0.08,
0610210007, 030495, -00009,   25.0,   0.09,
0610210006, 030495, -00009,   45.0,   0.07,
0610210005, 030495, -00009,   75.0,   0.12,
0610210004, 030495, -00009,  100.0,   0.19,
0610210003, 030495, -00009,  125.0,   0.07,
0610210002, 030495, -00009,  150.0,   0.03,
0620200521, 040695, 070431,    4.5,   0.07,
0620200520, 040695, 070315,   14.6,   0.07,
0620200518, 040695, 070159,   25.1,   0.07,
0620200517, 040695, 070056,   33.6,   0.07,
0620200516, 040695, 065950,   44.8,   0.08,
0620200515, 040695, 065838,   60.9,   0.11,
0620200514, 040695, 065730,   75.2,   0.13,
0620200513, 040695, 065630,   84.9,   0.13,
0620200512, 040695, 065535,   93.3,   0.17,
0620200511, 040695, 065436,  104.5,   0.18,
0620200510, 040695, 065334,  114.4,   0.21,
0620200509, 040695, 065236,  124.0,   0.21,
0620200508, 040695, 065134,  134.9,   0.18,
0620200507, 040695, 065029,  149.2,   0.17,
0620200505, 040695, 064840,  173.8,   0.11,
0620201413, 040795, 100055,   44.4,   0.09,
0620201412, 040795, 095858,   74.2,   0.17,
0620201411, 040795, 095719,  100.6,   0.20,
0620201410, 040795, 095440,  125.8,   0.22,
0620201409, 040795, 095327,  134.3,   0.18,
0620201407, 040795, 095049,  145.4,   0.13,
0620201406, 040795, 094950,  149.5,   0.15,
0620210008, 040695, -00009,    5.0,   0.08,
0620210007, 040695, -00009,   25.0,   0.08,
0620210006, 040695, -00009,   45.0,   0.09,
0620210005, 040695, -00009,   75.0,   0.15,
0620210004, 040695, -00009,  100.0,   0.18,
0620210003, 040695, -00009,  125.0,   0.14,
0620210002, 040695, -00009,  150.0,   0.08,
0620210001, 040695, -00009,  175.0,   0.04,
0630200523, 050795, 090218,    5.0,   0.09,
0630200522, 050795, 090129,    9.7,   0.11,
0630200521, 050795, 090044,   15.0,   0.10,
0630200519, 050795, 085938,   24.7,   0.11,
0630200518, 050795, 085836,   34.3,   0.10,
0630200517, 050795, 085729,   45.0,   0.10,
0630200516, 050795, 085622,   59.5,   0.15,
0630200515, 050795, 085509,   75.6,   0.21,
0630200514, 050795, 085413,   84.3,   0.21,
0630200513, 050795, 085308,   95.2,   0.20,
0630200512, 050795, 085209,  104.8,   0.22,
0630200511, 050795, 085115,  115.0,   0.23,
0630200510, 050795, 085019,  124.3,   0.17,
0630200509, 050795, 084919,  135.3,   0.10,
