botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0740200609, 072796, 064439,  134.2,  332.6,
0740200607, 072796, 064301,  150.2,  508.4,
0750200623, 082196, 080151,    5.2,    0.3,
0750200622, 082196, 080029,   14.8,    0.2,
0750200620, 082196, 075919,   25.2,    7.0,
0750200619, 082196, 075829,   34.6,    1.1,
0750200618, 082196, 075721,   44.9,    1.0,
0750200617, 082196, 075618,   59.8,    0.7,
0750200616, 082196, 075507,   74.5,    0.3,
0750200615, 082196, 075405,   84.6,    1.1,
0750200614, 082196, 075259,   95.0,    0.4,
0750200613, 082196, 075203,  104.4,    0.3,
0750200612, 082196, 075105,  114.2,    4.3,
0750200611, 082196, 075007,  125.3,  446.5,
0760200624, 100296, 065924,    3.8,    0.7,
0760200622, 100296, 065822,   14.2,    0.9,
0760200620, 100296, 065723,   24.2,    0.5,
0760200619, 100296, 065626,   34.9,    0.2,
0760200618, 100296, 065540,   43.6,    0.4,
0760200617, 100296, 065430,   59.6,    0.7,
0760200616, 100296, 065318,   73.8,    0.4,
0760200615, 100296, 065212,   84.6,    0.1,
0760200614, 100296, 065118,   94.5,    1.0,
0760200613, 100296, 065016,  103.7,    3.0,
0760200612, 100296, 064908,  115.3,  202.2,
0760200611, 100296, 064808,  124.3,  396.8,
0770200422, 103096, 070334,    4.3,    0.1,
0770200421, 103096, 070232,   14.7,    0.0,
0770200419, 103096, 070052,   24.2,    0.2,
0770200418, 103096, 065934,   34.9,    0.5,
0770200417, 103096, 065806,   43.7,    0.3,
0770200416, 103096, 065650,   59.6,    0.2,
0770200415, 103096, 065528,   74.1,    0.6,
0770200414, 103096, 065424,   84.4,    0.5,
0770200413, 103096, 065310,   95.4,    0.8,
0770200412, 103096, 065202,  104.4,   35.6,
0770200411, 103096, 065052,  114.2,  289.6,
0770200410, 103096, 064946,  123.8,  723.5,
0780200621, 121196, 093257,    4.3,    0.5,
0780200618, 121196, 092945,   24.2,    0.3,
0780200617, 121196, 092821,   35.0,    1.4,
0780200616, 121196, 092653,   44.5,    0.3,
0780200615, 121196, 092535,   59.5,    0.1,
0780200613, 121196, 092249,   83.9,    0.8,
0780200612, 121196, 092127,   95.7,    0.8,
0780200611, 121196, 092011,  105.1,   11.8,
0780200610, 121196, 091853,  114.6,  288.7,
0780200609, 121196, 091743,  125.0,  332.2,
0790200622, 010897, 080555,    4.3,    1.5,
0790200621, 010897, 080433,   14.2,    0.9,
0790200619, 010897, 080311,   24.3,    1.0,
0790200618, 010897, 080143,   34.4,    0.8,
0790200617, 010897, 080003,   44.2,    1.2,
0790200616, 010897, 075835,   59.3,    0.9,
