botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0730200609, 062696, 065015,  134.0,   56.6,
0730200608, 062696, 064907,  150.0,   67.4,
0730200607, 062696, 064801,  159.0,   87.9,
0730200606, 062696, 064637,  174.6,   86.9,
0730200605, 062696, 064531,  184.6,   83.0,
0740200621, 072796, 065505,   14.4,   64.5,
0740200618, 072796, 065301,   33.9,   74.2,
0740200617, 072796, 065203,   44.6,   76.2,
0740200616, 072796, 065111,   58.9,   73.3,
0740200614, 072796, 064917,   84.5,   54.7,
0740200612, 072796, 064729,  103.8,   49.8,
0740200611, 072796, 064629,  113.7,   52.7,
0740200607, 072796, 064301,  150.2,   90.8,
0740200603, 072796, 063927,  199.9,  212.9,
0750200623, 082196, 080151,    5.2,   27.4,
0750200622, 082196, 080029,   14.8,   31.3,
0750200620, 082196, 075919,   25.2,   24.4,
0750200619, 082196, 075829,   34.6,   28.3,
0750200618, 082196, 075721,   44.9,   28.3,
0750200617, 082196, 075618,   59.8,    7.8,
0750200616, 082196, 075507,   74.5,    2.9,
0750200613, 082196, 075203,  104.4,   44.9,
0750200611, 082196, 075007,  125.3,  100.6,
0750200609, 082196, 074727,  150.4,   89.8,
0750200607, 082196, 074509,  176.0,  142.6,
0750200605, 082196, 074259,  199.8,  192.4,
0760200624, 100296, 065924,    3.8,   30.3,
0760200622, 100296, 065822,   14.2,   26.4,
0760200620, 100296, 065723,   24.2,   27.3,
0760200619, 100296, 065626,   34.9,   14.6,
0760200618, 100296, 065540,   43.6,   14.6,
0760200617, 100296, 065430,   59.6,   22.5,
0760200616, 100296, 065318,   73.8,   10.7,
0760200613, 100296, 065016,  103.7,   48.8,
0760200611, 100296, 064808,  124.3,  113.3,
0760200609, 100296, 064608,  148.7,  125.0,
0760200607, 100296, 064358,  175.1,  205.1,
0760200605, 100296, 064200,  199.9,  246.1,
0770200622, 103096, 131852,   10.0,   28.3,
0770200621, 103096, 131750,   14.8,   24.4,
0770200619, 103096, 131600,   24.3,   11.7,
